! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
   849    919.108    30.999
   850    919.469    31.025
   851    919.830    31.049
   852    920.192    31.074
   853    920.554    31.100
   854    920.917    31.124
   855    921.279    31.149
   856    921.642    31.175
   857    922.005    31.199
   858    922.369    31.225
   859    922.733    31.250
   860    923.097    31.275
   861    923.461    31.300
   862    923.826    31.325
   863    924.191    31.351
   864    924.556    31.376
   865    924.922    31.401
   866    925.288    31.427
   867    925.654    31.452
   868    926.021    31.478
   869    926.387    31.503
   870    926.754    31.528
   871    927.122    31.554
   872    927.490    31.580
   873    927.858    31.605
   874    928.226    31.631
   875    928.594    31.657
   876    928.963    31.682
   877    929.333    31.709
   878    929.702    31.735
   879    930.072    31.760
   880    930.442    31.786
   881    930.812    31.811
   882    931.183    31.837
   883    931.554    31.864
   884    931.925    31.890
   885    932.297    31.916
   886    932.669    31.942
   887    933.041    31.968
   888    933.414    31.994
   889    933.787    32.021
   890    934.160    32.047
   891    934.533    32.073
   892    934.907    32.099
   893    935.281    32.125
   894    935.655    32.152
   895    936.030    32.179
   896    936.405    32.205
   897    936.780    32.231
   898    937.156    32.258
   899    937.532    32.284
   900    937.908    32.311
   901    938.285    32.338
   902    938.662    32.365
   903    939.039    32.392
   904    939.416    32.418
   905    939.794    32.445
   906    940.172    32.471
   907    940.550    32.498
   908    940.929    32.525
   909    941.308    32.552
   910    941.688    32.579
   911    942.067    32.606
   912    942.447    32.633
   913    942.827    32.661
   914    943.208    32.687
   915    943.589    32.714
   916    943.970    32.742
   917    944.352    32.768
   918    944.733    32.796
   919    945.116    32.823
   920    945.498    32.851
   921    945.881    32.877
   922    946.264    32.905
   923    946.647    32.933
   924    947.031    32.960
   925    947.415    32.988
   926    947.800    33.015
   927    948.184    33.043
   928    948.569    33.070
   929    948.955    33.098
   930    949.340    33.125
   931    949.726    33.153
   932    950.113    33.181
   933    950.499    33.209
   934    950.886    33.237
   935    951.273    33.265
   936    951.661    33.293
   937    952.049    33.321
   938    952.437    33.348
   939    952.825    33.376
   940    953.214    33.404
   941    953.604    33.432
   942    953.993    33.460
   943    954.383    33.489
   944    954.773    33.517
   945    955.163    33.545
   946    955.554    33.573
   947    955.945    33.601
   948    956.337    33.629
   949    956.729    33.657
   950    957.121    33.686
   951    957.513    33.715
   952    957.906    33.743
   953    958.299    33.772
   954    958.692    33.800
   955    959.086    33.828
   956    959.480    33.857
   957    959.874    33.886
   958    960.269    33.914
   959    960.664    33.943
   960    961.060    33.971
   961    961.455    34.001
   962    961.851    34.029
   963    962.248    34.058
   964    962.644    34.087
   965    963.041    34.116
   966    963.439    34.145
   967    963.836    34.174
   968    964.234    34.203
   969    964.633    34.232
   970    965.031    34.261
   971    965.430    34.290
   972    965.830    34.319
   973    966.229    34.348
